hmid,agency,social
830,yes,no
834,yes,yes
835,yes,no
836,yes,no
837,no,yes
838,no,no
839,no,yes
843,yes,no
844,yes,no
845,yes,no
846,yes,yes
847,yes,yes
848,yes,no
849,yes,no
850,yes,no
851,no,yes
852,yes,no
853,no,yes
854,yes,no
855,yes,no
856,yes,no
857,yes,no
858,yes,yes
859,yes,no
860,no,no
861,no,no
862,yes,yes
863,yes,no
864,yes,no
865,no,yes
866,yes,no
867,yes,no
868,yes,no
869,yes,no
870,yes,yes
873,no,no
874,yes,no
875,no,yes
876,yes,yes
877,yes,no
878,yes,no
879,yes,no
880,no,yes
881,yes,yes
882,yes,no
883,yes,no
884,yes,no
885,no,yes
887,yes,no
888,no,yes
889,yes,no
890,yes,no
891,yes,no
892,no,yes
893,yes,no
894,no,yes
895,yes,no
896,yes,yes
897,yes,no
898,yes,yes
899,yes,no
903,yes,no
904,yes,no
905,yes,no
906,yes,no
907,yes,no
908,yes,no
909,yes,no
910,yes,yes
911,yes,yes
912,no,no
913,yes,no
914,yes,no
915,yes,yes
918,yes,no
919,no,yes
920,no,yes
922,yes,no
923,yes,yes
924,yes,no
925,yes,no
926,yes,no
927,yes,no
931,yes,no
932,yes,no
933,yes,no
934,yes,yes
936,no,yes
937,no,yes
939,yes,yes
940,yes,no
942,yes,yes
943,yes,no
944,yes,yes
945,yes,no
946,yes,yes
947,yes,yes
948,yes,no
949,yes,no
950,yes,no
951,yes,no
954,yes,yes
955,yes,no
956,yes,no
957,yes,no
958,yes,no
959,yes,no
960,yes,no
961,yes,no
962,yes,no
963,no,yes
964,no,yes
965,yes,yes
966,yes,yes
967,no,no
968,yes,yes
969,yes,no
970,yes,yes
971,yes,no
972,no,yes
973,no,yes
974,yes,yes
975,no,yes
976,yes,no
977,yes,no
978,yes,no
979,no,no
980,no,yes
981,yes,yes
982,no,yes
983,no,yes
984,yes,no
985,yes,no
986,yes,yes
988,no,yes
989,yes,yes
990,no,yes
991,no,yes
992,yes,yes
993,no,yes
995,yes,yes
996,yes,no
997,yes,no
998,yes,no
999,no,yes
1000,no,yes
1001,no,yes
1002,yes,no
1003,no,no
1004,yes,no
1005,yes,no
1006,yes,no
1007,yes,yes
1008,yes,no
1009,yes,no
1010,yes,no
1011,yes,no
1012,yes,no
1013,yes,no
1020,no,yes
1021,no,no
1022,yes,no
1023,yes,no
1024,yes,yes
1025,yes,yes
1026,yes,yes
1027,yes,no
1028,yes,yes
1029,no,no
1030,no,yes
1031,yes,no
1035,yes,no
1036,yes,no
1037,yes,no
1039,no,yes
1040,no,yes
1041,yes,no
1042,yes,yes
1043,yes,yes
1044,yes,no
1045,yes,no
1046,yes,no
1047,no,yes
1048,yes,no
1049,yes,no
1052,yes,no
1053,no,yes
1054,no,yes
1055,yes,no
1056,yes,yes
1057,no,yes
1058,yes,yes
1059,yes,yes
1060,no,yes
1061,yes,no
1062,yes,yes
1063,yes,yes
1064,yes,no
1065,yes,yes
1066,yes,no
1067,yes,no
1068,yes,no
1069,yes,no
1070,yes,no
1071,yes,no
1072,yes,yes
1073,yes,no
1074,yes,yes
1075,yes,yes
1076,no,no
1077,no,yes
1078,yes,no
1079,no,yes
1081,no,no
1082,yes,no
1083,no,yes
1084,yes,yes
1085,yes,yes
1086,no,yes
1087,yes,no
1088,no,no
1089,yes,no
1090,yes,yes
1091,yes,no
1092,yes,yes
1093,no,yes
1094,no,yes
1095,no,yes
1096,yes,no
1098,no,yes
1099,yes,yes
1100,yes,yes
1101,yes,no
1102,yes,no
1103,yes,no
1109,yes,no
1110,yes,yes
1111,no,yes
1112,yes,yes
1113,no,no
1114,yes,no
1115,yes,no
1116,no,no
1117,no,no
1119,yes,yes
1120,yes,no
1121,yes,no
1124,yes,no
1125,yes,no
1126,yes,no
1127,yes,no
1128,yes,yes
1129,yes,yes
1130,yes,yes
1132,yes,no
1133,yes,no
1134,yes,no
1135,yes,yes
1136,yes,yes
1137,yes,yes
1138,yes,no
1139,yes,no
1140,yes,no
1141,yes,no
1142,yes,no
1143,no,yes
1144,yes,no
1145,yes,no
1146,yes,yes
1147,yes,yes
1148,yes,no
1152,yes,yes
1153,yes,yes
1154,yes,yes
1158,yes,no
1159,yes,no
1160,no,yes
1162,yes,no
1163,yes,no
1165,yes,no
1167,yes,no
1168,yes,no
1169,no,yes
1170,yes,yes
1171,yes,no
1172,no,yes
1176,yes,yes
1177,yes,yes
1178,yes,no
1179,yes,yes
1180,yes,no
1181,yes,no
1184,yes,yes
1185,yes,no
1186,yes,no
1187,yes,no
1188,yes,no
1189,yes,yes
1190,yes,no
1193,yes,yes
1199,no,yes
1203,yes,yes
1204,yes,no
1205,yes,no
1206,yes,yes
1207,no,yes
1208,yes,yes
1209,yes,no
1210,yes,no
1212,no,yes
1213,yes,yes
1214,no,yes
1215,yes,no
1216,yes,yes
1217,no,yes
1219,yes,yes
1225,no,yes
1226,yes,no
1227,yes,no
1228,yes,yes
1229,yes,no
1230,yes,yes
1231,no,yes
1232,no,yes
1233,yes,yes
1234,no,yes
1236,yes,no
1237,yes,no
1238,yes,no
1239,yes,no
1240,yes,no
1241,yes,no
1242,yes,yes
1243,yes,no
1244,yes,no
1245,yes,no
1246,yes,no
1247,yes,yes
1248,yes,yes
1249,no,yes
1250,yes,no
1251,no,yes
1252,yes,no
1253,yes,no
1254,no,yes
1255,yes,yes
1256,no,yes
1257,no,yes
1258,yes,yes
1259,yes,yes
1260,yes,yes
1263,no,no
1264,no,yes
1265,no,no
1266,yes,no
1267,yes,no
1268,yes,yes
1269,yes,yes
1270,yes,no
1271,yes,no
1272,yes,no
1273,yes,yes
1274,yes,no
1278,yes,yes
1279,yes,yes
1280,yes,yes
1281,yes,yes
1282,yes,no
1283,yes,no
1284,no,yes
1285,yes,yes
1286,yes,yes
1287,yes,no
1288,no,yes
1289,yes,no
1290,yes,yes
1291,yes,yes
1292,yes,yes
1294,yes,no
1296,no,yes
1297,yes,no
1298,yes,no
1299,no,yes
1300,no,no
1301,yes,no
1302,yes,yes
1303,no,yes
1304,yes,yes
1305,yes,no
1306,yes,no
1307,yes,yes
1308,yes,no
1309,no,yes
1310,yes,yes
1311,yes,yes
1312,yes,yes
1313,yes,yes
1314,yes,no
1315,yes,no
1316,yes,no
1320,yes,no
1321,yes,yes
1322,yes,no
1324,yes,yes
1325,no,yes
1329,yes,no
1330,yes,no
1333,yes,no
1334,yes,no
1335,yes,no
1336,yes,no
1338,no,no
1339,yes,yes
1340,yes,yes
1341,yes,no
1342,no,yes
1343,no,no
1344,no,yes
1345,no,no
1346,no,yes
1347,yes,yes
1348,yes,no
1349,yes,no
1350,yes,yes
1351,yes,yes
1352,yes,yes
1353,yes,no
1354,yes,yes
1355,yes,yes
1356,no,yes
1357,no,yes
1358,yes,no
1362,yes,no
1363,yes,no
1364,yes,yes
1368,yes,yes
1369,yes,yes
1370,yes,yes
1371,yes,yes
1372,yes,yes
1373,yes,no
1374,yes,no
1375,yes,no
1376,yes,yes
1380,yes,no
1381,yes,no
1382,yes,yes
1383,yes,no
1384,yes,no
1386,no,yes
1387,yes,yes
1388,yes,no
1392,yes,no
1393,yes,yes
1394,yes,no
1395,no,yes
1396,no,yes
1397,no,yes
1398,yes,no
1399,yes,no
1400,yes,no
1402,yes,no
1403,yes,no
1404,yes,yes
1405,yes,yes
1406,yes,yes
1407,yes,yes
1408,yes,yes
1409,yes,yes
1411,yes,yes
1412,yes,yes
1416,yes,yes
1417,yes,yes
1418,yes,yes
1419,no,yes
1420,yes,no
1421,yes,no
1422,yes,yes
1423,yes,no
1424,yes,no
1425,yes,yes
1426,no,yes
1427,no,yes
1428,yes,yes
1429,yes,yes
1430,yes,no
1431,yes,yes
1432,no,yes
1433,no,yes
1434,yes,yes
1435,yes,yes
1436,yes,no
1437,yes,no
1438,yes,no
1439,yes,no
1441,yes,no
1442,yes,no
1443,yes,no
1444,yes,no
1445,no,no
1446,yes,yes
1447,yes,no
1448,no,no
1450,yes,no
1451,yes,yes
1452,no,yes
1453,yes,no
1454,yes,no
1455,no,yes
1456,no,yes
1457,yes,no
1458,yes,no
1459,yes,no
1460,yes,no
1461,yes,yes
1462,no,yes
1463,yes,no
1464,yes,no
1465,no,yes
1466,yes,yes
1467,yes,no
1468,yes,yes
1469,yes,no
1472,yes,no
1476,yes,yes
1477,yes,yes
1478,yes,no
1479,yes,no
1480,yes,no
1481,yes,no
1482,no,yes
1483,no,no
1484,yes,no
1485,yes,yes
1486,yes,no
1487,yes,yes
1488,yes,no
1489,yes,no
1490,no,yes
1491,yes,no
1492,yes,no
1493,yes,no
1494,yes,no
1495,yes,no
1496,yes,yes
1497,yes,no
1498,no,no
1499,yes,no
1500,yes,no
1501,yes,no
1503,yes,no
1504,no,yes
1505,yes,no
1506,yes,yes
1507,yes,no
1508,yes,yes
1509,yes,yes
1510,no,yes
1511,no,no
1515,yes,no
1516,yes,yes
1517,yes,no
1518,yes,no
1519,no,no
1520,no,yes
1524,yes,no
1530,yes,no
1531,yes,yes
1532,yes,yes
1536,no,yes
1537,yes,no
1538,yes,yes
1539,yes,yes
1540,yes,yes
1541,yes,no
1543,yes,no
1545,yes,yes
1546,yes,yes
1547,yes,no
1548,yes,yes
1549,yes,yes
1550,yes,no
1551,no,yes
1552,yes,no
1553,no,yes
1554,no,yes
1555,yes,no
1556,yes,yes
1557,yes,yes
1558,yes,yes
1563,no,yes
1564,yes,no
1565,no,yes
1566,yes,no
1567,yes,yes
1568,yes,no
1570,yes,no
1571,yes,no
1572,no,yes
1573,yes,yes
1574,yes,no
1575,yes,no
1576,yes,no
1577,yes,no
1578,yes,yes
1579,yes,no
1580,yes,yes
1581,yes,no
1582,yes,no
1583,yes,no
1585,no,yes
1587,yes,no
1588,yes,no
1593,yes,no
1594,yes,no
1595,yes,yes
1596,yes,yes
1597,yes,yes
1598,yes,no
1599,no,no
1600,yes,no
1601,yes,no
1602,no,yes
1603,no,yes
1604,yes,no
1605,no,yes
1606,yes,no
1607,yes,yes
1608,no,yes
1609,no,yes
1610,no,yes
1611,yes,yes
1613,yes,yes
1617,yes,yes
1618,yes,yes
1619,yes,yes
1620,yes,yes
1621,no,no
1622,yes,yes
1623,yes,yes
1624,yes,yes
1625,yes,yes
1628,yes,no
1629,yes,no
1630,yes,yes
1631,no,yes
1633,no,yes
1634,yes,yes
1635,yes,yes
1636,yes,yes
1637,no,yes
1638,no,yes
1640,no,yes
1641,yes,no
1642,no,yes
1643,yes,no
1644,yes,yes
1645,no,no
1646,yes,no
1647,yes,yes
1648,no,yes
1649,yes,no
1650,no,yes
1651,yes,no
1652,yes,no
1653,yes,no
1654,yes,no
1655,yes,no
1656,yes,no
1657,yes,yes
1658,no,no
1660,yes,no
1662,yes,no
1663,yes,yes
1664,yes,no
1665,yes,yes
1666,yes,yes
1667,yes,no
1668,yes,no
1671,no,yes
1672,no,yes
1673,no,yes
1674,yes,yes
1675,yes,no
1676,yes,yes
1677,yes,no
1678,yes,yes
1679,yes,no
1680,no,yes
1681,no,yes
1682,no,yes
1683,yes,yes
1684,no,yes
1685,yes,no
1686,no,yes
1687,no,yes
1688,yes,yes
1689,yes,no
1690,yes,yes
1691,yes,no
1692,yes,no
1693,yes,no
1694,yes,no
1695,yes,no
1696,yes,yes
1697,yes,yes
1698,no,yes
1699,no,yes
1702,yes,no
1703,yes,no
1704,no,yes
1705,yes,no
1706,no,yes
1707,yes,no
1708,yes,no
1709,yes,yes
1711,yes,yes
1714,yes,no
1716,yes,yes
1717,no,yes
1718,yes,yes
1719,yes,yes
1720,yes,yes
1721,no,yes
1722,no,yes
1723,no,yes
1724,no,no
1725,yes,yes
1726,yes,yes
1727,yes,yes
1728,no,yes
1729,yes,yes
1730,yes,yes
1731,yes,yes
1732,yes,no
1733,yes,yes
1736,yes,no
1738,no,yes
1739,yes,yes
1740,yes,no
1741,no,yes
1742,no,yes
1744,yes,no
1745,yes,no
1746,yes,no
1747,no,no
1748,no,yes
1749,yes,yes
1750,yes,yes
1751,yes,no
1752,yes,yes
1753,yes,yes
1754,no,yes
1759,yes,yes
1760,yes,no
1761,yes,no
1762,yes,no
1763,yes,no
1764,yes,no
1765,yes,no
1766,no,no
1767,yes,no
1768,yes,no
1769,yes,no
1770,no,yes
1771,yes,no
1772,no,yes
1773,yes,yes
1774,yes,yes
1775,yes,no
1776,yes,yes
1777,yes,yes
1778,yes,no
1779,no,yes
1780,no,yes
1781,yes,yes
1782,yes,no
1783,yes,no
1784,no,yes
1785,yes,yes
1786,yes,no
1787,yes,no
1788,yes,no
1789,yes,yes
1790,no,yes
1791,yes,no
1792,no,yes
1793,no,yes
1794,yes,no
1795,yes,yes
1796,yes,yes
1797,yes,yes
1798,no,yes
1799,no,yes
1800,yes,no
1801,yes,yes
1806,yes,no
1807,yes,no
1808,no,yes
1809,yes,no
1810,no,yes
1811,yes,no
1818,yes,yes
1819,yes,yes
1820,yes,no
1821,yes,no
1822,yes,yes
1823,yes,no
1824,yes,yes
1825,yes,no
1826,yes,no
1827,no,yes
1828,yes,no
1829,yes,no
1830,no,yes
1831,no,yes
1832,no,no
1833,yes,no
1834,yes,yes
1835,yes,no
1842,no,yes
1843,yes,no
1844,yes,yes
1848,yes,yes
1849,yes,yes
1850,yes,yes
1851,yes,yes
1852,yes,yes
1853,yes,yes
1854,yes,no
1855,yes,no
1856,yes,no
1859,yes,yes
1861,no,yes
1862,yes,no
1863,yes,no
1864,yes,yes
1865,yes,no
1866,no,yes
1867,yes,yes
1868,yes,yes
1869,yes,no
1870,yes,no
1871,yes,yes
1872,yes,yes
1873,yes,yes
1874,yes,yes
1875,no,yes
1876,yes,yes
1877,yes,yes
1878,no,yes
1879,yes,no
1880,yes,no
1882,yes,no
1883,yes,yes
1884,no,no
1885,no,no
1886,no,no
1887,yes,yes
1888,yes,yes
1889,yes,no
1890,no,yes
1891,yes,yes
1892,no,yes
1893,no,no
1894,yes,no
1895,yes,no
1896,yes,yes
1897,no,no
1898,no,yes
1900,yes,yes
1901,no,yes
1902,no,yes
1903,no,no
1904,no,yes
1905,yes,yes
1906,yes,yes
1907,yes,yes
1908,no,yes
1909,no,no
1910,yes,no
1911,yes,yes
1912,yes,no
1916,no,no
1917,yes,yes
1920,yes,yes
1921,yes,no
1922,yes,yes
1923,yes,no
1924,yes,yes
1925,yes,no
1926,yes,no
1927,yes,no
1928,yes,no
1932,yes,yes
1933,yes,no
1934,yes,yes
1935,no,yes
1936,yes,no
1937,yes,no
1938,no,yes
1941,yes,yes
1942,yes,no
1943,yes,no
1946,yes,yes
1947,yes,yes
1948,yes,yes
1949,yes,no
1950,no,yes
1951,no,no
1952,no,yes
1953,no,yes
1954,no,yes
1956,no,yes
1957,yes,no
1958,no,yes
1962,yes,no
1963,no,yes
1964,yes,yes
1968,no,yes
1969,no,no
1970,yes,yes
1974,no,yes
1975,no,no
1976,no,yes
1977,yes,no
1978,yes,no
1979,no,no
1981,yes,yes
1982,no,yes
1983,no,yes
1984,yes,no
1985,yes,no
1986,yes,yes
1987,yes,no
1988,yes,no
1989,yes,yes
1990,yes,no
1991,yes,no
1992,yes,yes
1993,no,yes
1994,no,yes
1995,yes,yes
1996,yes,no
1997,no,yes
1998,yes,yes
1999,no,yes
2000,yes,yes
2001,yes,yes
2002,yes,no
2003,yes,no
2007,yes,no
2008,no,yes
2009,yes,no
2011,yes,no
2012,yes,no
2013,no,yes
2014,no,yes
2015,yes,no
2016,no,yes
2017,yes,no
2018,yes,yes
2019,yes,yes
2020,yes,no
2021,no,no
2022,yes,yes
2023,no,no
2024,no,no
2025,yes,yes
2026,yes,yes
2027,yes,yes
2028,no,yes
2029,yes,no
2030,yes,no
2031,no,yes
2032,yes,yes
2033,yes,no
2034,yes,yes
2035,no,yes
2036,yes,yes
2037,yes,yes
2038,yes,no
2039,yes,yes
2040,yes,yes
2041,yes,yes
2042,yes,no
2044,yes,no
2046,yes,yes
2049,no,no
2050,yes,no
2051,no,yes
2052,yes,no
2053,no,yes
2054,yes,yes
2057,yes,yes
2058,no,yes
2059,yes,yes
2060,yes,yes
2061,yes,no
2064,yes,no
2065,yes,no
2066,no,yes
2067,yes,no
2068,yes,no
2069,yes,no
2072,yes,yes
2073,yes,no
2074,yes,yes
2075,yes,no
2076,yes,yes
2079,no,yes
2080,no,yes
2081,yes,no
2082,yes,yes
2083,yes,no
2084,yes,yes
2089,no,yes
2090,no,yes
2091,yes,no
2092,yes,no
2093,yes,no
2095,yes,no
2096,yes,no
2097,yes,no
2098,no,yes
2099,yes,no
2100,yes,no
2101,no,yes
2102,no,yes
2104,yes,no
2105,yes,no
2106,yes,no
2107,no,yes
2108,no,no
2109,yes,no
2110,no,yes
2111,yes,no
2112,yes,yes
2115,yes,yes
2117,yes,no
2118,yes,yes
2119,yes,no
2121,yes,no
2122,yes,no
2123,yes,no
2124,no,yes
2125,no,yes
2126,no,no
2127,yes,yes
2128,no,yes
2129,no,yes
2130,yes,no
2131,yes,no
2132,no,yes
2134,yes,no
2135,yes,no
2138,no,yes
2139,yes,yes
2140,yes,no
2141,yes,no
2142,yes,no
2143,yes,no
2144,no,yes
2145,yes,no
2146,yes,no
2147,yes,yes
2151,no,yes
2152,yes,no
2153,no,yes
2154,yes,no
2155,yes,no
2156,yes,no
2157,yes,no
2159,yes,no
2160,no,no
2161,yes,no
2162,yes,no
2163,yes,yes
2164,yes,no
2165,yes,yes
2166,no,yes
2167,no,yes
2168,yes,yes
2172,no,yes
2173,yes,no
2174,yes,no
2175,yes,no
2176,yes,no
2177,yes,no
2178,yes,yes
2179,no,no
2180,yes,yes
2181,yes,no
2182,yes,yes
2183,yes,no
2184,yes,yes
2185,yes,no
2186,no,yes
2187,yes,no
2188,yes,no
2191,yes,yes
2192,yes,yes
2193,yes,no
2196,yes,yes
2197,yes,no
2198,yes,no
2199,yes,no
2200,yes,yes
2201,yes,yes
2205,yes,no
2206,yes,yes
2207,yes,no
2208,yes,yes
2209,yes,yes
2210,yes,yes
2211,yes,yes
2212,no,yes
2213,yes,yes
2215,yes,yes
2216,yes,no
2217,no,yes
2218,no,yes
2219,no,yes
2223,yes,yes
2224,yes,no
2225,yes,no
2226,no,yes
2227,yes,yes
2228,yes,no
2231,no,no
2233,yes,no
2234,yes,no
2235,yes,no
2236,yes,yes
2237,yes,no
2238,yes,no
2239,yes,no
2240,yes,no
2241,no,no
2242,yes,no
2243,no,yes
2246,yes,no
2247,no,yes
2248,yes,no
